,,,,,mobilitaet,mobilitaet,infrastruktur,mobilitaet,mobilitaet,mobilitaet,infrastruktur,stadtbild,mobilitaet,stadtbild,wirtschaft,infrastruktur,stadtbild,mobilitaet,mobilitaet,stadtbild,stadtbild,stadtbild,mobilitaet,stadtbild,gesellschaft,politik,gesellschaft,politik,infrastruktur,stadtbild,gesellschaft,gesellschaft,gesellschaft,gesellschaft,kultur,parks,gesellschaft,parks,wirtschaft,umwelt,gesellschaft,gesellschaft,gesellschaft,gesellschaft,politik,wirtschaft,politik,gesellschaft,kultur,gesellschaft,politik,politik,politik,kultur,kultur,politik,parks,raeume,raeume,raeume,raeume,stadtbild,mobilitaet,politik,bildung
ID,text,gender,age,location,oepnv,verkehrsfluss,energieversorgung,radwege,verkehrsnetz,radverkehr,infrastruktur,beleuchtung,mobilitaet,muell,carsharing,digitalisierung,atmosphäre,individualverkehr,Parken,stadtbild,sanierung,autofrei,tempo30,stadtgestaltung,Quartiers-entwicklung,flaechen,wohnraum,stadtplanung,Bauen,lebenswert,gentrifizierung,gerechtigkeit,inklusion,gesellschaft,sport,gruenestadt,generationen,hunde,konsum,umwelt,familie,kinderbetreuung,Jugend,senioren,klimawandel,einzelhandel,foerderung,gemeinschaft,nachtleben,begegnung,politik,engagement,strukturen,kulturangebot,freizeit,transparenz,parks,raeume,werkstaetten,kreativraeume,experimentierraeume,spielplaetze,fussgaenger,sicherheit,bildung
1,"Einen Teil des Wiesengrundes, zwischen Poppenreuth und Stadtpark als See anlegen.",w,51-60,Poppenreuth,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1,"Den Kindern verwilderte Freiplätze lassen, das ist besser als jeder Spielplatz",w,51-60,Poppenreuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,x,,x,x,,,,,,,
2,Einen sicheren Fußgängerweg von Stadeln ins Industriegebiet Schmalau schaffen.,w,41-50,Stadeln,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,
2,Auf beiden Wegen (Herboldshof und Uvex) ist der Gehsteig nicht durchgehend. EINE sichere Strecke wäre ausreichend.,w,41-50,Stadeln,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,
3,Tempo 30 im gesammten Stadtgebiet.,m,51-60,Südstadt,,,,,,,,,x,,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Durchfahrtsverbot für LKW über 10to. Ausser zum Be-, und Entladen natürlich.",m,51-60,Südstadt,,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Parkverbot für Alles über 10to in Wohngebieten (Eigenes Heim, Dambacher Str., Heinrichskirche) um nur Einige Beispiele zu nennen.",m,51-60,Südstadt,,,,,,,,,x,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Der Nahverkehr VGN muss unbedingt günstiger werden, um das Verkehrs- und Parkplatzchaos und damit auch die Umweltverschmutzung in der Innenstadt zu entschärfen/ verbessern. Hierbei sollten auch unbedingt sinnvolle Sozialtickets ( Alg II usw. ) eingeführt werden, die momentane Verkehrs-Preis-Politik ist unsinnig, da sehr viele, sozial schwache Menschen kein Monats oder Jahres Ticket benötigen, sondern nur gelegentlich weitere Strecken z.B. nach Nürnberg oder Erlangen o.ä. bewältigen müssen.",w,51-60,Innenstadt,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bustakt verbessern. In die Vorstädte Stadeln Vach Unterfarrnbach alle 10 Minuten. Auch Samstags und bis abends 20:15,m,51-60,Vach,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
